PLAYER_NAME,PLAYER_ID,Position_cluster,Position,DFGA_LT06,DFGA_6to10,DFGA_10to15,DFGA_15to3PT,DFGA_3PT,FG_LT_06_DefEPV,FG_6_to_10_DefEPV,FG_10_to_15_DefEPV,FG_15_to_3PT_DefEPV,FG3_DefEPV,LT5_OffEPV,5to10_OffEPV,10to15_OffEPV,15to3PT_OffEPV,3PT_OffEPV,BIG CLOSE RIM LT5,BIG CLOSE RIM 5TO10,BIG CLOSE RIM 10TO15,BIG CLOSE 15TO3,BIG CLOSE RIM 3,BIG STRETCH LT5,BIG STRETCH 5TO10,BIG STRETCH 10TO15,BIG STRETCH 15TO3,BIG STRETCH 3,BALLH PENETRATE LT5,BALLH PEN 5TO10,BALLH PEN 10TO15,BALLH PEN 15TO3,BALLH PEN 3,BALLH PER LT5,BALLH PER 5TO10,BALLH PER 10TO15,BALLH PER 15TO3,BALLH PER 3,WING SLASH LT5,WING SLASH 5TO10,WING SLASH 10TO15,WING SLASH 15TO3,WING SLASH 3,WING PER LT5,WING PER 5TO10,WING PER 10TO15,WING PER 15TO3,WING PER 3,BIG SCORE CLOSE LT5,BIG SCORE CLOSE 5TO10,BIG SCORE CLOSE 10TO15,BIG SCORE CLOSE 15TO3PT,BIG SCORE CLOSE 3,BIG SCORE STRETCH LT5,BIG SCORE STRETCH 5TO10,BIG SCORE STRETCH 10TO15,BIG SCORE STRETCH 15TO3,BIG SCORE STRETCH 3,BALLH PEN SCORE LT5,BALLH PENSCORE 5TO10,BALLH PEN SCORE 10TO15,BALLH PEN SCORE 15TO3,BALLH PEN SCORE 3,BALLH PER SCORE LT5,BALLH PER SCORE 5TO10,BALLH PER SCORE 10TO15,BALLH PER SCORE 15TO3,BALL PER SCORE 3,WING SLASH SCORE LT5,WING SLASH SCORE 5TO10,WING SLASH SCORE 10TO15,WING SLASH SCORE 15TO3 ,WING SLASH SCORE 3,WING PER SCORE LT5,WING PER SCORE 5TO10 ,WING PER SCORE 10TO15,WING PER SCORE 15TO3 ,WING PER SCORE 3,BIG CLOSE,BIG STRETCH,BALLH PEN,BALLH PER,WING SLASH,WING PER,Total
Draymond Green,203110,2,Wing,0.365699874,0.121059269,0.066834805,0.153846154,0.292559899,-6,-2.28,-1.24,-2.98,-9.81,7.6,1.4,0.6,0.4,10.5,3.989978098,0.426256056,0.113619168,0.442105263,0.789911728,2.314259202,0.269528183,0.100126103,0.505660377,1.649375431,3.455863808,0.290542245,0.144808743,0.758974359,4.037326608,2.452428134,0.226306714,0.116210721,0.661852433,4.356157192,3.21985982,0.300114373,0.149523446,0.709838998,3.447444207,1.954602774,0.190633561,0.106628401,0.561626879,3.861790668,-2.010021902,-1.853743944,-1.126380832,-2.537894737,-9.020088272,-3.685740798,-2.010471817,-1.139873897,-2.474339623,-8.160624569,-2.544136192,-1.989457755,-1.095191257,-2.221025641,-5.772673392,-3.547571866,-2.053693286,-1.123789279,-2.318147567,-5.453842808,-2.78014018,-1.979885627,-1.090476554,-2.270161002,-6.362555793,-4.045397226,-2.089366439,-1.133371599,-2.418373121,-5.948209332,-7.528041415,-17.4710507,-13.62248424,-14.49704481,-14.48321916,-15.63471772,-83.23655805
Kristaps Porzingis,204001,0,Big,0.404978749,0.112932605,0.064359441,0.144505161,0.273224044,-6.58,-2.08,-1.5,-2.88,-9,7.4,3.6,4.6,4.6,14.4,4.418531301,0.397641645,0.10941105,0.415262199,0.737704918,2.562827783,0.251434856,0.096417729,0.474958472,1.540364986,3.82704918,0.271038251,0.139445456,0.712892127,3.770491803,2.715837082,0.211114828,0.111906621,0.6216671,4.068250251,3.565696615,0.279967806,0.143985541,0.666740091,3.219595883,2.164541591,0.177836401,0.102679201,0.527526886,3.606557377,-2.161468699,-1.682358355,-1.39058895,-2.464737801,-8.262295082,-4.017172217,-1.828565144,-1.403582271,-2.405041528,-7.459635014,-2.75295082,-1.808961749,-1.360554544,-2.167107873,-5.229508197,-3.864162918,-1.868885172,-1.388093379,-2.2583329,-4.931749749,-3.014303385,-1.800032194,-1.356014459,-2.213259909,-5.780404117,-4.415458409,-1.902163599,-1.397320799,-2.352473114,-5.393442623,-7.699153804,-17.11399617,-13.31908318,-14.31122412,-14.16401406,-15.46085854,-82.06832987
Rudy Gobert,203497,0,Big,0.496753247,0.149350649,0.087012987,0.153246753,0.113636364,-7.82,-2.82,-1.64,-2.8,-3.66,14.6,0.8,0,0,0,5.419839371,0.525871497,0.147922078,0.440382775,0.306818182,3.143604509,0.33251654,0.130355305,0.503690272,0.640651801,4.694318182,0.358441558,0.188528139,0.756017316,1.568181818,3.3312881,0.279194275,0.151296051,0.659273787,1.692022263,4.373739052,0.37025068,0.194666264,0.707073392,1.339059197,2.655060457,0.235184356,0.13882072,0.559438722,1.5,-2.400160629,-2.294128503,-1.492077922,-2.359617225,-3.353181818,-4.676395491,-2.48748346,-1.509644695,-2.296309728,-3.019348199,-3.125681818,-2.461558442,-1.451471861,-2.043982684,-2.091818182,-4.4887119,-2.540805725,-1.488703949,-2.140726213,-1.967977737,-3.446260948,-2.44974932,-1.445333736,-2.092926608,-2.320940803,-5.164939543,-2.584815644,-1.50117928,-2.240561278,-2.16,-8.545984279,-13.98918157,-11.17451299,-12.62692552,-11.75521142,-13.65149575,-71.74331153
Paul Millsap,200794,2,Wing,0.355569541,0.098804279,0.069225928,0.153555695,0.322844556,-4.38,-1.86,-1.2,-2.64,-10.05,8.4,4.8,4.4,3.4,10.5,3.87945083,0.347895068,0.117684078,0.441270577,0.871680302,2.250151395,0.219979339,0.103708277,0.504705701,1.820112329,3.360132159,0.237130271,0.149989511,0.757541431,4.455254877,2.384492878,0.18470351,0.120368349,0.660602869,4.807089557,3.130665769,0.244942702,0.154872891,0.708498836,3.804310156,1.900457889,0.155588348,0.110443205,0.560566539,4.261548143,-0.50054917,-1.512104932,-1.082315922,-2.198729423,-9.178319698,-2.129848605,-1.640020661,-1.096291723,-2.135294299,-8.229887671,-1.019867841,-1.622869729,-1.050010489,-1.882458569,-5.594745123,-1.995507122,-1.67529649,-1.079631651,-1.979397131,-5.242910443,-1.249334231,-1.615057298,-1.045127109,-1.931501164,-6.245689844,-2.479542111,-1.704411652,-1.089556795,-2.079433461,-5.788451857,-5.293699447,-15.23134296,-11.16995175,-11.97274284,-12.08670965,-13.14139588,-68.89584253
Anthony Davis,203076,0,Big,0.377529658,0.138171668,0.069085834,0.170272156,0.244940684,-4.92,-2.58,-1.24,-3.18,-7.29,14.2,6.6,5.4,10.8,5.4,4.119047269,0.486509715,0.117445918,0.489308407,0.661339846,2.389121647,0.307627487,0.1034984,0.559649238,1.380910874,3.567655269,0.331612003,0.149685973,0.840009304,3.380181438,2.531760115,0.258296424,0.120124756,0.732517766,3.647116795,3.324016943,0.342537204,0.15455947,0.78562781,2.886312663,2.017830931,0.217580672,0.110219698,0.621591228,3.233217027,-0.800952731,-2.093490285,-1.122554082,-2.690691593,-6.628660154,-2.530878353,-2.272372513,-1.1365016,-2.620350762,-5.909089126,-1.352344731,-2.248387997,-1.090314027,-2.339990696,-3.909818562,-2.388239885,-2.321703576,-1.119875244,-2.447482234,-3.642883205,-1.595983057,-2.237462796,-1.08544053,-2.39437219,-4.403687337,-2.902169069,-2.362419328,-1.129780302,-2.558408772,-4.056782973,-6.707688691,-14.46919235,-10.94085601,-11.92018414,-11.71694591,-13.00956044,-68.76442754
Tristan Thompson,202684,0,Big,0.384410393,0.133910726,0.093937375,0.175216522,0.212524983,-5.46,-2.34,-1.6,-2.68,-6.06,8.6,2,0.4,0.2,0,4.19411971,0.471506715,0.159693538,0.503516954,0.573817455,2.432665016,0.298140862,0.140728822,0.575900343,1.198159717,3.632678215,0.321385743,0.203530979,0.86440151,2.93284477,2.577903167,0.250331072,0.163336007,0.753788631,3.16445363,3.384599414,0.331974033,0.210157569,0.808440884,2.504335094,2.054607273,0.210870914,0.149867904,0.639641006,2.80532978,-1.26588029,-1.868493285,-1.440306462,-2.176483046,-5.486182545,-3.027334984,-2.041859138,-1.459271178,-2.104099657,-4.861840283,-1.827321785,-2.018614257,-1.396469021,-1.81559849,-3.12715523,-2.882096833,-2.089668928,-1.436663993,-1.926211369,-2.89554637,-2.075400586,-2.008025967,-1.389842431,-1.871559116,-3.555664906,-3.405392727,-2.129129086,-1.450132096,-2.040358994,-3.25467022,-6.751163084,-13.49440524,-10.18515878,-11.23018749,-10.900493,-12.27968312,-64.84109071
Al Horford,201143,2,Wing,0.389830508,0.118644068,0.077966102,0.170169492,0.243389831,-4.76,-1.82,-1.44,-2.88,-7.14,6.2,4,2.4,3.6,10.8,4.253256021,0.417752007,0.132542373,0.489013381,0.657152542,2.466965142,0.264150943,0.116802047,0.5593118,1.372167573,3.683898305,0.284745763,0.168926554,0.839502825,3.358779661,2.614251124,0.221791768,0.135565548,0.732076098,3.624024905,3.43232164,0.294126922,0.174426488,0.785154119,2.86803784,2.083576856,0.186830314,0.124387298,0.621216443,3.212745763,-0.506743979,-1.402247993,-1.307457627,-2.390986619,-6.482847458,-2.293034858,-1.555849057,-1.323197953,-2.3206882,-5.767832427,-1.076101695,-1.535254237,-1.271073446,-2.040497175,-3.781220339,-2.145748876,-1.598208232,-1.304434452,-2.147923902,-3.515975095,-1.32767836,-1.525873078,-1.265573512,-2.094845881,-4.27196216,-2.676423144,-1.633169686,-1.315612702,-2.258783557,-3.927254237,-5.607436218,-13.26060249,-9.704146893,-10.71229056,-10.48593299,-11.81124333,-61.58165248
Karl-Anthony Towns,1626157,0,Big,0.413678619,0.116201859,0.070385126,0.152722444,0.247011952,-5.06,-2.1,-1.4,-2.82,-6.66,16.4,6.4,2,4.4,10.2,4.513451457,0.409152862,0.119654714,0.438876075,0.666932271,2.617883184,0.258713573,0.105444887,0.501966975,1.392588138,3.909262948,0.278884462,0.152501107,0.753430722,3.40876494,2.774179473,0.217226333,0.122383934,0.657018186,3.677957558,3.642295933,0.288072516,0.157466259,0.704654251,2.910719911,2.211040894,0.182984537,0.112292592,0.557524691,3.260557769,-0.546548543,-1.690847138,-1.280345286,-2.381123925,-5.993067729,-2.442116816,-1.841286427,-1.294555113,-2.318033025,-5.267411862,-1.150737052,-1.821115538,-1.247498893,-2.066569278,-3.25123506,-2.285820527,-1.882773667,-1.277616066,-2.162981814,-2.982042442,-1.417704067,-1.811927484,-1.242533741,-2.115345749,-3.749280089,-2.848959106,-1.917015463,-1.287707408,-2.262475309,-3.399442231,-5.898864891,-13.16340324,-9.537155821,-10.59123452,-10.33679113,-11.71559952,-61.24304912
Myles Turner,1626167,0,Big,0.528541226,0.139534884,0.052854123,0.118393235,0.160676533,-7.04,-2.52,-0.76,-2.3,-4.5,8,1.6,2,7,4.2,5.766662958,0.49130967,0.089852008,0.340224769,0.433826638,3.344768439,0.310662571,0.079181459,0.38913399,0.905851849,4.994714588,0.334883721,0.114517266,0.584073291,2.217336152,3.544462182,0.260844803,0.091901454,0.509332528,2.392440782,4.653621122,0.345916712,0.118245735,0.546260878,1.893367422,2.824961726,0.219727346,0.084323589,0.432203349,2.120930233,-1.273337042,-2.02869033,-0.670147992,-1.959775231,-4.066173362,-3.695231561,-2.209337429,-0.680818541,-1.91086601,-3.594148151,-2.045285412,-2.185116279,-0.645482734,-1.715926709,-2.282663848,-3.495537818,-2.259155197,-0.668098546,-1.790667472,-2.107559218,-2.386378878,-2.174083288,-0.641754265,-1.753739122,-2.606632578,-4.215038274,-2.300272654,-0.675676411,-1.867796651,-2.379069767,-5.931950595,-12.09040169,-8.874474982,-10.32101825,-9.562588131,-11.43785376,-58.21828741
Kevin Durant,201142,2,Wing,0.338017174,0.113973458,0.071818891,0.134270101,0.341920375,-3.62,-1.86,-1.5,-2.1,-9.3,10,2.8,4.2,6.4,15,3.687945273,0.401306545,0.122092116,0.385849871,0.923185012,2.139074721,0.253752228,0.10759283,0.441317956,1.927656754,3.194262295,0.2735363,0.155607598,0.662399167,4.718501171,2.266784559,0.213060587,0.12487693,0.577635457,5.0911246,2.976123305,0.282548155,0.160673892,0.619516003,4.029094276,1.806643517,0.179475446,0.114580025,0.490163037,4.513348946,0.067945273,-1.458693455,-1.377907884,-1.714150129,-8.376814988,-1.480925279,-1.606247772,-1.39240717,-1.658682044,-7.372343246,-0.425737705,-1.5864637,-1.344392402,-1.437600833,-4.581498829,-1.353215441,-1.646939413,-1.37512307,-1.522364543,-4.2088754,-0.643876695,-1.577451845,-1.339326108,-1.480483997,-5.270905724,-1.813356483,-1.680524554,-1.385419975,-1.609836963,-4.786651054,-4.482806196,-13.51060551,-9.375693469,-10.10651787,-10.31204437,-11.27578903,-59.06345645
